questionName;correctAnswer;wrongAnswer1;wrongAnswer2;wrongAnswer3;correction;correctAnswerValue
(USU-RJ) Na mucosa intestinal, as células apresentam  grande capacidade de absorção devido à presença de: ;Microvilosidades;Vesículas fagocitárias;Cílios;Flagelos;Microvilosidades;
(MOJI-SP) A membrana plasmática, apesar de  invisível ao microscópio óptico, está presente:;Em todas as células, seja ela procariótica ou eucariótica.;Apenas nas células dos eucariontes.;Apenas nas células vegetais.;Apenas nas células animais.;Em todas as células, seja ela procariótica ou eucariótica.;
(UF-AC) Quimicamente, a membrana celular é constituída principalmente por: ;Proteínas e lipídios.;Celobiose e aldeídos.;Carboidratos e ácidos nucleicos.;Acetonas e ácidos graxos.;Proteínas e lipídios.;
(UGF-93) Na maioria das células vegetais, encontram-se pontes citoplasmáticas que estabelecem continuidade entre células adjacentes. Estas pontes são denominadas: ;Plasmodesmos.;Polissomos.;Desmossomos;Microvilosidades.;Plasmodesmos.;
(UFF-95) Assinale, dentre as estruturas abaixo, aquela que representa EXCEÇÃO à especialização da membrana plasmáica:;Cílios.;Desmossomos;Pêlos absorventes na raízes dos vegetais;Microvilosidades intestinais.;Cílios.;
(PUC-RJ) As células animais diferem das células vegetais porque estas contêm várias estruturas e organelas características. Na lista abaixo, marque a organela ou estrutura comum às células animais e vegetais.;Membrana celular;Vacúolo;Parede celular;Centríolo;Membrana celular;
(PUC-SP) As microvilosidades presentes nas células do epitélio intestinal têm a função de:;Aumentar a superfície de absorção;Aumentar a aderência entre uma célula e outra;Sintetizar enzimas digestivas;Secretar muco;Aumentar a superfície de absorção;
(PUC-SP) Sabe-se que células epiteliais acham-se fortemente unidas, sendo necessária uma força considerável para separá-las. Isto se deve à ação:;Dos desmossomos;Da parede celular celulósica;Da substância intercelular;Dos centríolos;Dos desmossomos;
(UNICENTRO 2018) Qual das alternativas abaixo apresenta os nomes de duas formas de duas formas de divisão celular?;Mitose e meiose;Fagocitose e osmose;Osmose e anáfase;Fagocitose e pinocitose;Mitose e meiose;
(Univag 2016/1) Células vegetais quando túrgidas não sofrem ruptura de seus envoltórios celulares, enquanto hemácias imersas em meio acentuadamente hipotônico sofrem lise celular. Nessas condições, a estrutura que confere resistência à célula vegetal e o mecanismo de transporte de substâncias são, respectivamente:;A parede celular e a osmose;O desmossomo e a bomba iônica;A carioteca e a difusão simples;O glicocálix e a pinocitose;A parede celular e a osmose;
(Fuvest 2012) O retículo endoplasmático e o complexo de Golgi são organelas celulares cujas funções estão relacionadas. O complexo de Golgi;Recebe proteínas sintetizadas no retículo endoplasmático. ;Envia proteínas nele sintetizadas para o retículo endoplasmático. ;Recebe polissacarídeos sintetizados no retículo endoplasmático. ;Envia polissacarídeos nele sintetizados para o retículo endoplasmático. ;Recebe proteínas sintetizadas no retículo endoplasmático. ;
