questionName;correctAnswer;wrongAnswer1;wrongAnswer2;wrongAnswer3;difficulty;correctAnswerValue;
As células animais e vegetais são:;Ambas eucariontes;Eucarionte e Procarionte, respectivamente;Ambas procariontes;Procarionte e Eucarionte, respectivamente;0;;
Qual a função da vesícula secretora?;Transporte de substâncias na célula;Geração de energia;Metabolismo;Divisão celular;0;;
Qual é a função das mitocôndrias?;Respiração celular;Síntese de lipídios;Formação de enzimas;Ciclo de Krebs;0;;
Qual a função do Complexo de Golgi?;Armazenar proteínas;Armazenar minerais;Armazenar energia;Síntese de lípidios;0;;
Qual a função do DNA?;Codificar para a síntese de proteínas;Divisão celular;Armazenar proteínas;Respiração celular;0;;
Qual a função do Nucléolo?;Produção de RNAr;Produção de DNA;Produção de RNAM;Produção de ATP;0;;
Qual a principal função do retículo endoplasmático liso?;Desintoxicação celular;Síntese de vitaminas;Síntese de proteinas;Desintoxicação alimentar;0;;
Qual a função do Vacuolo Pulsátil?;Eliminar o excesso de água;Regular a síntese de proteínas;Regular o transporte de proteínas;Regular o transporte de íons;0;;
Qual a função dos centríolos?;Divisão celular;Codificicar para a síntese de proteínas;Digestão intracelular;Fotossíntese;0;;
Qual a função dos cloroplastos?;Fotossíntese;Produção de RNA;Transporte de proteínas;Divisão Celular;0;;
Qual a função dos lisossomos?;Digestão intracelular;Divisão celular;Codificação para a síntese de proteínas;Produção de proteínas;0;;
Qual das alternativas abaixo contém organelas presentes na célula animal?;Centríolo, Lisossomos, Peroxissomos;Parede celular, Ribossomos, Glioxissoma;Centríolo, Parede celular, Plastos;Vacúolo digestivo, Parede celular, Glioxissoma;0;;
Qual das alternativas abaixo contém organelas presentes na célula vegetal?;Vacúolo central, Plastos, Glioxissoma;Lisossomos, Peroxissomos, Plastos;Lisossomos, Retículo endoplasmático, Parede celular;Retículo endoplasmático, Peroxissomos;0;;
Qual das alternativas abaixo possui organelas encontradas tanto nas células animais, quanto nas vegetais?;Complexo golgiense, Retículo endoplasmático e Peroxissomos;Vacúolo Central, Centríolos, Mitocôndrias;Mitocôndria, Retículo endoplasmático e Vacúolo de suco celular;Ribossomos, Peroxissomos e Glioxissoma;0;;
Qual a função dos ribossomos?;Síntese de proteinas;Síntese de enzimas;"Síntese de lípídios ";Sintese de polissacarídeos;0;;
O Complexo de Golgi está ligado à secreção celular, síntese de polissacarídeos, Secreção da lamela média e...;Formação de acrossomo e lisossomos;Formação de acrossomo e produção ATP;Formação dos lisossomos e DNA;"DNA e respiração celular ";1;;
"O vacúolo alimentar pode ser formado: ";Por processos de englobamento;Por Fagocitose e autofagia;Somente por fagocitose;"Por Pinocitose e autofagia ";1;;
A respiração celular (que acontece na mitocôndria) é um processo de oxidação de moléculas orgânicas(ácidos graxos e glicerídeos, principal a glicose, que é responsável pela produção de:;ATP;DNA;RNA;Proteínas;1;;
"O ribossomo é importante para o crescimento,____________, e controle metabólico. Eles estão presentes em grande parte no citoplasma. No entanto, podem ser encontrados nas,__________, nos cloroplastos e no_________. ";regeneração celular, mitocôndrias, retículo endoplasmático;mitocôndrias,retículo endoplasmático, regeneração celular;mitocôndrias,retículo endoplasmático, regeneração celular;retículo endoplasmático, regeneração celular, mitocôndria;1;;
Em qual das organelas abaixo, podemos encontrar material genético:;Núcleo;Complexo de Golgi;Centríolo;Vacúolo;1;;
Qual é a organela que auxilia na divisão celular?;Mitocôndria;Cloroplasto;Retículo endoplasmático rugoso;Centríolo;1;;
Organela responsável pela secreção de anticorpos e de hormônios(insulina)?;Centríolo;Retículo endoplasmático rugoso;Peroxissomo;Cloroplasto;1;;
Organela responsável pela síntese de  lipídios e hormônios sexuais(testosterona e estrógeno)?;Retículo endoplasmático liso;Cloroplastos;Retículo endoplasmático rugoso;Peroxissomos;1;;
" Os retículos endoplasmáticos são responsáveis pela … ?";Desintoxicação celular;Desintoxicação alimentar;Transporte de glicose no sangue;Transporte de endoplasma no sangue;1;;
A organela presente somente em plantas e algas é o...;Cloroplasto;Núcleo;Membrana nuclear;Centríolo;1;;
Forma os cromossomos e é conhecido como Ácido desoxirribonucleico que é encontrado no núcleo:;DNA;RNA;ATP;RNAM;1;;
Quais as organelas que possuem DNA próprio?;Mitocôndria e cloroplasto;Vacúolo e mitocôndria;Mitocôndria e centríolo;Mitocôndria e dictiossoma;1;;
"O vacúolo quando presente em células animais podem apresentar diferentes funções como: ";Contrátil, digestivo e autofágico;Apenas contrátil;Contrátil e digestivo;Contrátil e autofágico;1;;
Os cloroplastos possuem a coloração verde devido a presença de…?;Clorofila;Mitocôndria;"Plasmodemas ";Cloroplasto;1;;
O que são as cristas mitocondriais?;Membrana interna da mitocôndria;Membrana interna da matriz mitocondrial;Membrana interna do núcleo;Membrana interna do Complexo Golgiense;1;;
Qual a organela responsável pelo envelhecimento celular?;Mitocôndria;Lisossomo;Ribossomo;Cloroplasto;1;;
Quando uma célula precisa realizar a fagocitose?;Quando precisa digerir substâncias do meio externo;Quando precisa digerir substâncias do meio interno;Quando está sem oxigênio;Quando precisa eliminar água de sí;1;;
