Pergunta;Resposta correta;Alternativas;Alternativas;Alternativas;dificuldade
A unidade básica da vida é:;a célula.;o DNA.;os ácidos nucleicos.;a membrana plasmática.;0
A célula eucariótica, quando comparada com a procariótica:;é maior em tamanho.;tem DNA, enquanto que a procariótica só tem RNA.;é a única célula a ter enzimas.;não possui núcleo.;0
Qual das estruturas abaixo não é fundamental para a vida como a conhecemos na Terra?;Mitocôndria.;RNA.;Enzimas.;Membranas.;0
As enzimas:;aceleram reações seguindo o sentido determinado pela tendência ao equilíbrio.;somente aceleram reações que estão em equilíbrio.;aceleram as reações pois aumentam a temperatura dos reagentes.;só podem acelerar uma reação entre produtos e reagentes no sentido dos reagentes para os produtos.;0
Sobre a energia empregada nos processos vitais dos seres humanos é incorreto afirmar que:;vem da oxidação de compostos inorgânicos. ;é investida em parte na preservação de informação sobre as estruturas vivas ao ser usada para a síntese de ácidos nucleicos.;está em parte contida na diferença de concentração entre produtos e reagentes de diversas reações químicas fora do equilíbrio.;é inexoravelmente perdida em parte na forma de calor.;0
A energia livre é:;a energia disponível num sistema que pode ser convertida em formas de trabalho que podem ser realizadas por seres vivos.;o calor que mantém a temperatura constante nos seres vivos.;a energia radiante vinda do Sol que é incorporada pelas plantas sob a forma de glicose na fotossíntese.;sempre é reduzida num processo físico, mas pode aumentar no universo graças a fenômenos biológicos.;0
Das alternativas abaixo, assinale aquela que não é exemplo de trabalho biológico nos seres humanos:;Indução magnética. ;Trabalho mecânico.;Transporte de massa.;Síntese de compostos químicos.;0
A constância da composição das estruturas vivas:;é expressão do contínuo consumo de energia livre investido na realização de trabalho biológico que, em última análise, serve para manter essas estruturas. ;é a expressão do equilíbrio termodinâmico dessas estruturas com o meio ambiente que as circunda, não havendo, portanto, fluxo de energia entre as estruturas vivas e o ambiente.;é uma situação de equilíbrio estático misturado com estado estacionário.;é um exemplo de estado estacionário, sinônimo de equilíbrio dinâmico.;0
Metabolismo é:;um conjunto de reações interconectadas catalisado por enzimas nas células e organismos vivos. ;um conjunto de reações químicas catalisadas por enzimas, reações estas que não estão interligadas entre si.;é o conjunto das reações químicas que acontecem entre as células de um ser vivo.;é o conjunto das reações químicas que ocorrem num organismo vivo, independentemente de serem catalisadas por enzimas ou não.;0
Sobre o catabolismo e o anabolismo, assinale a alternativa correta:;O anabolismo é um conjunto de reações que, para se processarem, utilizam energia livre contida principalmente no ATP, acoplando reações de hidrólise do mesmo com outras de formação de substâncias complexas a partir de outras mais simples. ;O catabolismo é a quebra de substâncias simples em complexas, movida por consumo de ATP.;O anabolismo é uma fonte de ATP para os diferentes processos do organismo.;Toda a energia livre investida no anabolismo depende da liberação de energia livre vinda do catabolismo.;0
Sobre o colesterol responda:;O colesterol é um lipídio que pode ser tanto ingerido na dieta quanto produzido pelo próprio corpo a partir do metabolismo de carboidratos, lipídios e proteínas.;O colesterol só pode ser obtido através da ingestão de alimentos de origem animal como: carnes bovinas, peixes, aves e lacticínios.;O colesterol é uma lipoproteína, conhecida como “colesterol mal”, que não tem nenhuma função benéfica para o organismo.;O colesterol é o único lipídio que compõe as lipoproteínas e ele se encontra na forma “livre”.;0
Qual as partículas lipídicas mais ricas em triglicerídeos, aqueles lipídios constituídos por uma molécula de glicerol e 3 ácidos graxos? ;Quilomícrons e VLDL.;LDL e VLDL.;LDL e Quilomícrons.;HDL e LDL.;0
Qual é a função das lipases de lipoproteínas presentes na corrente sanguínea para o transporte de lipídios dos quilomícrons para as células?;Promover a hidrólise dos triglicérides presentes nos quilomícrons.;Promover a degradação das proteínas presentes nos quilomícrons.;Promover a retirada do colesterol do HDL-colesterol.;Promover a degradação do colesterol do LDL-colesterol.;0
Existe uma lipoproteína chamada lipoproteína de densidade intermediária (IDL – intermediate-density lipoprotein), também chamada de lipoproteína remanescente. Quais das alternativas abaixo estão corretas?;A IDL não pode ser hidrolisado pela lipase lipoprotéica, ele precisa ser degradado pela lipase pancreática para ser captado pelo fígado.;A IDL pode ter origem no catabolismo de quilomícrons.;A IDL se forma, principalmente, pela retirada de triglicérides das outras lipoproteínas ricas deste lipídeo, como o VLDL.;O LDL tem origem da hidrólise do IDL.;0
Óleos e gorduras são tipos de lipídios compostos majoritariamente por compostos denominados triacilgliceróis ou triglicerídeos. Estes se enquadram na classe dos glicerídeos e provêm da reação entre ácidos graxos (ácidos carboxílicos de cadeia longa) e o glicerol. Sobre os lipídios e os triglicerídeos, é CORRETO afirmar:;O óleo é uma mistura de triglicerídeos com alta proporção de ácidos graxos de cadeia saturada.;O triacilglicerol é um éster precursor do glicerol e se encontra esterificado com três ésteres de fosfato. ;O caráter hidrofílico dos triglicerídeos é causado pelas cadeias hidrocarbônicas longas e idênticas.;A insolubilidade dos lipídeos em água se deve aos muitos grupos polares das cadeias hidrocarbônicas. ;0
A lipase pancreática divide as gorduras em quais dois produtos digestivos?;Ácidos graxos livres e glicerídeos.;Ácidos graxos e monossacarídeos livres.;Monossacarídeos e glicerídeos.;Ácidos graxos livres e triglicerídeos.;0
Qual é a função dos sais biliares no intestino?;Emulsificante.;Co-fator para colesteril esterase.;Inibidor da absorção lipídica.;Ativador de lipase.;0
Quais as fontes de glicose?;dieta, glicogênio, lactato, glicerol e aminoácidos.;dieta, lactato e glicerol.;dieta, lactato, glicerol e aminoácidos.;glicogênio.;0
Qual a parte do metabolismo de glicose que não necessita de oxigênio?;glicólise.;ciclo do ácido cítrico.;fosforilação oxidativa.;glicólise e ciclo do ácido cítrico.;0
O glicogênio muscular gera energia somente para a própria fibra muscular, por que isso ocorre?;pois o músculo não possui a fosfatase que converte glicose-6-fosfato em glicose.;pois o fígado tem mais glicogênio.;pois o músculo não tem glicogênio.;pois o fígado bloqueia a glicogenólise muscular.;0
Qual o processo metabólico que gera mais ATP para a célula?;fosforilação oxidativa.;glicólise.;ciclo do ácido cítrico.;beta-oxidação.;0
Qual parte dos aminoácidos será convertida em intermediários que poderão entrar no ciclo do ácido cítrico?;o grupo carboxila.;o radical.;o grupo amina.;ele inteiro.;0
O processo de desaminação dos aminoácidos gera um produto tóxico, qual é esse produto?;amônio.;glutamato.;uréia.;piruvato.;0
Sobre os lipídeos, assinale a alternativa correta:;importantes componentes das membranas celulares.;são moléculas polares e facilmente se dissolvem em água.;são prejudiciais à saúde e nunca devem ser consumidos.;servem como fonte primaria de energia.;0
Uma molécula de triglicerídeo é composta por:;três moléculas de ácidos graxos esterificadas e uma molécula de glicerol.;uma molécula de ácido graxo esterificada e três moléculas de glicerol.;glicerol, etanol e gorduras.;duas moléculas de ácidos graxos esterificadas, uma molécula de glicerol e ATP.;0
Onde ocorre a beta oxidação dos ácidos graxos?;na matriz mitocondrial.;no núcleo das células.;na membrana celular.;na matriz extracelular.;0
Quando os corpos cetônicos são produzidos em maior quantidade pelo organismo?;quando o indivíduo está em dieta restritiva contendo baixíssimo conteúdo de carboidrato ou tem Diabetes melito.;somente quando o indivíduo tem diabetes melito.;quando o organismo precisa estocar energia.;quando a insulina é presente em quantidades ideais para o organismo.;0
Sobre as diferenças entre o homem atual e nossos ancestrais, podemos afirmar:;Os nossos ancestrais realizavam maior atividade física em busca do alimento, que era escasso, ao contrário do homem moderno que tem fácil acesso à alimentação e uma vida mais sedentária.;Ambos tem a mesma alimentação, apesar do homem atual comer em menor quantidade.;O homem atual encontra mais dificuldades na obtenção de alimentos se comparado ao seu ancestral.;O homem moderno realiza muito mais atividades físicas que seus ancestrais, que viviam confinados em cavernas sem espaço para exercícios.;0
