questionName;correctAnswer;wrongAnswer1;wrongAnswer2;wrongAnswer3;correction;correctAnswerValue;
O Complexo de Golgi está ligado à secreção celular, síntese de polissacarídeos, Secreção da lamela média e...;Formação de acrossomo e lisossomos;Formação de acrossomo e produção ATP;Formação dos lisossomos e DNA;DNA e respiração celular ;O Complexo de Golgi é importante também na formação de lisossomos e acrossomos;;
O vacúolo alimentar pode ser formado: ;Por processos de englobamento;Por Fagocitose e autofagia;Somente por fagocitose;Por Pinocitose e autofagia ;"O vacúolo alimentar é criado quando a célula ""captura"" algum alimento,eglobando-o!";;
A respiração celular (que acontece na mitocôndria) é um processo de oxidação de moléculas orgânicas(ácidos graxos e glicerídeos, principal a glicose, que é responsável pela produção de:;ATP;DNA;RNA;Proteínas;A respiração celular é a responsável por gerar energia para a célula;;
O ribossomo é importante para o crescimento,____________, e controle metabólico. Eles estão presentes em grande parte no citoplasma. No entanto, podem ser encontrados nas,__________, nos cloroplastos e no_________. ;regeneração celular, mitocôndrias, retículo endoplasmático;mitocôndrias,retículo endoplasmático, regeneração celular;mitocôndrias,retículo endoplasmático, regeneração celular;retículo endoplasmático, regeneração celular, mitocôndria;regeneração celular, mitocôndrias, retículo endoplasmático;;
Em qual das organelas abaixo, podemos encontrar material genético:;Núcleo;Complexo de Golgi;Centríolo;Vacúolo;Núcleo;;
Qual é a organela que auxilia na divisão celular?;Mitocôndria;Cloroplasto;Retículo endoplasmático rugoso;Centríolo;Mitocôndria;;
Organela responsável pela secreção de anticorpos e de hormônios(insulina)?;Centríolo;Retículo endoplasmático rugoso;Peroxissomo;Cloroplasto;Centríolo;;
Organela responsável pela síntese de  lipídios e hormônios sexuais(testosterona e estrógeno)?;Retículo endoplasmático liso;Cloroplastos;Retículo endoplasmático rugoso;Peroxissomos;Retículo endoplasmático liso;;
 Os retículos endoplasmáticos são responsáveis pela … ?;Desintoxicação celular;Desintoxicação alimentar;Transporte de glicose no sangue;Transporte de endoplasma no sangue;Desintoxicação celular;;
A organela presente somente em plantas e algas é o...;Cloroplasto;Núcleo;Membrana nuclear;Centríolo;Cloroplasto;;
Forma os cromossomos e é conhecido como Ácido desoxirribonucleico que é encontrado no núcleo:;DNA;RNA;ATP;RNAM;DNA;;
Quais as organelas que possuem DNA próprio?;Mitocôndria e cloroplasto;Vacúolo e mitocôndria;Mitocôndria e centríolo;Mitocôndria e dictiossoma;Mitocôndria e cloroplasto;;
O vacúolo quando presente em células animais podem apresentar diferentes funções como: ;Contrátil, digestivo e autofágico;Apenas contrátil;Contrátil e digestivo;Contrátil e autofágico;Contrátil, digestivo e autofágico;;
Os cloroplastos possuem a coloração verde devido a presença de…?;Clorofila;Mitocôndria;Plasmodemas ;Cloroplasto;Clorofila;;
O que são as cristas mitocondriais?;Membrana interna da mitocôndria;Membrana interna da matriz mitocondrial;Membrana interna do núcleo;Membrana interna do Complexo Golgiense;Membrana interna da mitocôndria;;
Qual a organela responsável pelo envelhecimento celular?;Mitocôndria;Lisossomo;Ribossomo;Cloroplasto;Mitocôndria;;
Quando uma célula precisa realizar a fagocitose?;Quando precisa digerir substâncias do meio externo;Quando precisa digerir substâncias do meio interno;Quando está sem oxigênio;Quando precisa eliminar água de sí;Quando precisa digerir substâncias do meio externo;;
Além de ajudar no processo de divisão celular os centríolos auxiliam na formação de ?;Cílios e flagelos;Cílios e a acrossoma;Apenas cílios;Apenas acrossoma;Cílios e flagelos;;
Qual é a função dos cílios e dos flagelos?;Reprodução;Divisão celular;Respiração celular;Locomoção;Reprodução;;
A célula vegetal é formada por dois tipos de componentes, sendo eles :;Protoplasmático e não protoplasmático;Protoplasmático e citoplasmático;Citoesqueleto e citoplasmático;Eucariontes e procariontes;Protoplasmático e não protoplasmático;;
O citoplasma é a região da célula localizada entre a membrana plasmática e o núcleo, preenchida por uma substância gelatinosa (citosol), na qual estão mergulhadas as organelas citoplasmáticas. O citoplasma é dividido em duas partes , uma mais interna conhecida como __________ e a outra mais externa conhecida como __________.;Endoplasma e Ectoplasma;Citoplasma e Ectoplasma;Ectoplasma e Citoplasma;Ectoplasma e Endoplasma;Endoplasma e Ectoplasma;;
As células animais não possuem  cloroplastos, por isso:;Não produzem o próprio alimento.;Possuem outra organela substituinte, o lisossomo;Possuem outra organela substituinte, o vacúolo.;Produzem o próprio alimento;Não produzem o próprio alimento.;;
Como as células animais produzem energia?;Respiração celular;Armazenamento de proteínas;Fotossíntese;Quimiossíntese;Respiração celular;;
De que forma as células vegetais armazenam energia?;Como amido;Como plasmodemas;Como glicose;Como glicogênio;Como amido;;
 De que forma as células animais armazenam energia?;Como glicogênio;Como glicose;Como amido;Como frutose;Como glicogênio;;
